16. 7.;Drahomír
16. 7.;Drahomíra
17. 7.;Bohuslav
18. 7.;Kamila
19. 7.;Šarlota
19. 7.;Dušana
20. 7.;Eliáš
20. 7.;Iľja
20. 7.;Eliána
21. 7.;Daniel
22. 7.;Magdaléna
23. 7.;Oľga
24. 7.;Vladimír
25. 7.;Jakub
26. 7.;Anna
26. 7.;Hana
26. 7.;Aneta
27. 7.;Božena
28. 7.;Krištof
29. 7.;Marta
30. 7.;Libuša
31. 7.;Ignác
1. 8.;Božidara
2. 8.;Gustáv
3. 8.;Jerguš
4. 8.;Dominik
4. 8.;Dominika
5. 8.;Hortenzia
6. 8.;Jozefína
7. 8.;Štefánia
8. 8.;Oskar
9. 8.;Ľubomíra
10. 8.;Vavrinec
11. 8.;Zuzana
12. 8.;Darina
12. 8.;Dárius
12. 8.;Dária
13. 8.;Ľubomír
14. 8.;Mojmír
15. 8.;Marcela
16. 8.;Leonard
17. 8.;Milica
18. 8.;Elena
18. 8.;Helena
19. 8.;Lýdia
20. 8.;Anabela
21. 8.;Jana
21. 8.;Johana
21. 8.;Noema
22. 8.;Tichomír
23. 8.;Filip
24. 8.;Bartolomej
25. 8.;Ľudovít
26. 8.;Samuel
27. 8.;Silvia
28. 8.;Augustín
29. 8.;Nikola
29. 8.;Nikolaj
29. 8.;Nikoleta
30. 8.;Ružena
31. 8.;Nora
1. 9.;Drahoslava
2. 9.;Linda
2. 9.;Rebeka
3. 9.;Belo
4. 9.;Rozália
5. 9.;Regína
6. 9.;Alica
7. 9.;Marianna
8. 9.;Miriama
9. 9.;Martina
10. 9.;Oleg
11. 9.;Bystrík
12. 9.;Mária
12. 9.;Mia
13. 9.;Ctibor
13. 9.;Tobiáš
13. 9.;Tobias
14. 9.;Ľudomil
14. 9.;Radka
15. 9.;Jolana
16. 9.;Ľudmila
17. 9.;Olympia
17. 9.;Melisa
18. 9.;Eugénia
19. 9.;Konštantín
20. 9.;Ľuboslav
20. 9.;Ľuboslava
21. 9.;Matúš
22. 9.;Móric
23. 9.;Zdenka
24. 9.;Ľubor
24. 9.;Ľuboš
25. 9.;Vladislav
26. 9.;Edita
27. 9.;Cyprián
27. 9.;Damián
28. 9.;Václav
29. 9.;Michal
29. 9.;Michael
29. 9.;Michaela
30. 9.;Jarolím
1. 10.;Arnold
2. 10.;Levoslav
3. 10.;Stela
4. 10.;František
5. 10.;Viera
6. 10.;Natália
7. 10.;Eliška
7. 10.;Elisa
8. 10.;Brigita
9. 10.;Dionýz
10. 10.;Slavomíra
11. 10.;Valentína
12. 10.;Maximilián
12. 10.;Maxim
12. 10.;Max
13. 10.;Koloman
14. 10.;Boris
15. 10.;Terézia
15. 10.;Tereza
16. 10.;Vladimíra
17. 10.;Hedviga
18. 10.;Lukáš
19. 10.;Kristián
20. 10.;Vendelín
21. 10.;Uršuľa
22. 10.;Sergej
23. 10.;Alojzia
24. 10.;Kvetoslava
25. 10.;Aurel
26. 10.;Demeter
27. 10.;Sabína
28. 10.;Dobromila
29. 10.;Klára
29. 10.;Kiara
30. 10.;Šimon
30. 10.;Simon
30. 10.;Simona
31. 10.;Aurélia
1. 11.;Denis
1. 11.;Denisa
2. 11.;-
3. 11.;Hubert
4. 11.;Karol
5. 11.;Imrich
6. 11.;Renáta
7. 11.;René
8. 11.;Bohumír
9. 11.;Teodor
9. 11.;Teo
10. 11.;Tibor
11. 11.;Martin
11. 11.;Maroš
12. 11.;Svätopluk
12. 11.;Jonáš
13. 11.;Stanislav
14. 11.;Irma
15. 11.;Leopold
16. 11.;Agnesa
17. 11.;Klaudia
18. 11.;Eugen
19. 11.;Alžbeta
19. 11.;Liliana
20. 11.;Félix
21. 11.;Elvíra
22. 11.;Cecília
23. 11.;Klement
24. 11.;Emília
25. 11.;Katarína
26. 11.;Kornel
27. 11.;Milan
28. 11.;Henrieta
29. 11.;Vratko
30. 11.;Andrej
30. 11.;Ondrej
30. 11.;Andreas
1. 12.;Edmund
2. 12.;Bibiána
2. 12.;Viviána
3. 12.;Oldrich
4. 12.;Barbora
